num_threads,2,4,8,16
256,0.00157,0.00149,0.00548,0.00691
512,0.02215,0.02868,0.05305,0.05461
1024,0.35554,0.54288,0.55777,0.55157
2048,3.46041,5.17343,5.24062,5.48038
